Date,Round,HomeTeam,AwayTeam,Possession_Home,Possession_Away,Home_duels_success_rate,Away_duels_success_rate,Home_aerials_success_rate,Away_aerials_success_rate,Home_interceptions,Away_interceptions,Home_offsides,Away_offsides,Home_corners,Away_corners,Home_passes,Away_passes,Home_long_passes,Away_long_passes,Home_passing_acc,Away_passing_acc,Home_passing_acc_opp_half,Away_passing_acc_opp_half,Home_crosses,Away_crosses,Home_crossing_acc,Away_crossing_acc,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeSOT,AwaySOT,Home_blocked_shots,Away_blocked_shots,Home_Shots_OB,Away_Shots_OB,Home_Shots_IB,Away_shots_IB,Home_shooting_acc,Away_shooting_acc,HomeTackles,AwayTackles,Home_Tackle_success_rate,Away_Tackle_success_rate,HomeClearances,AwayClearances,HomeFouls,AwayFouls,HomeYellows,AwayYellows,HomeReds,AwayReds,Referee,Time
18/10/2020,7,Strasbourg,Lyon,0.53,0.47,0.52,0.48,0.59,0.41,12,13,3,2,4,2,365,345,65,54,0.74,0.75,0.61,0.65,31,8,0.26,0.62,2,3,19,14,8,8,0,0,5,3,14,11,0.42,0.57,16,12,0.75,0.42,8,31,13,8,2,3,0,0,Ruddy Buquet, 13:00
25/10/2020,8,Bordeaux,Nîmes,0.59,0.41,0.6,0.4,0.6,0.4,11,8,2,1,7,4,552,378,43,67,0.89,0.8,0.75,0.56,22,17,0.23,0.18,2,0,20,8,6,4,5,0,5,3,15,5,0.3,0.5,14,20,0.64,0.65,19,21,9,16,3,3,0,0,Bastien Dechepy, 15:00
25/10/2020,8,Brest,Strasbourg,0.63,0.37,0.44,0.56,0.52,0.48,15,16,3,1,12,2,576,349,59,73,0.85,0.72,0.72,0.59,35,9,0.26,0.33,0,3,14,7,4,5,2,1,4,3,10,4,0.29,0.71,5,17,0.6,0.59,2,32,8,11,1,3,0,0,Jérôme Miguelgorry, 15:00
24/10/2020,8,Lorient,Marseille,0.35,0.65,0.57,0.43,0.64,0.36,20,10,1,0,6,4,278,551,60,73,0.67,0.79,0.52,0.71,23,10,0.26,0.5,0,1,12,15,3,3,0,3,5,6,7,9,0.25,0.2,25,23,0.68,0.7,6,18,10,12,3,3,0,0,Benoît Bastien, 17:00
25/10/2020,8,Lyon,Monaco,0.34,0.66,0.49,0.51,0.4,0.6,16,11,3,0,2,12,291,561,47,55,0.77,0.85,0.65,0.73,11,30,0.55,0.33,4,1,15,18,6,5,3,7,5,7,10,11,0.4,0.28,15,16,0.67,0.69,26,7,12,15,3,4,1,0,Jérôme Brisard, 21:00
25/10/2020,8,Fc Metz,Asse,0.42,0.58,0.5,0.5,0.45,0.55,22,15,1,1,5,3,323,439,63,54,0.72,0.8,0.55,0.67,16,19,0.12,0.16,2,0,6,10,3,0,0,4,4,5,2,5,0.5,0,22,21,0.86,0.71,18,19,11,18,3,3,0,0,Karim Abed, 15:00
25/10/2020,8,Montpellier,Reims,0.32,0.68,0.42,0.58,0.38,0.62,9,5,0,2,3,8,323,687,59,58,0.79,0.92,0.62,0.87,12,27,0.08,0.48,0,4,5,24,1,9,1,6,3,6,2,18,0.2,0.38,10,14,0.5,0.79,15,8,7,11,1,0,2,0,Willy Delajod, 15:00
25/10/2020,8,Nice,Lille,0.53,0.47,0.48,0.52,0.4,0.6,9,19,1,3,5,3,559,493,60,48,0.88,0.88,0.71,0.8,17,11,0.35,0.27,1,1,8,12,3,4,2,2,2,7,6,5,0.38,0.33,13,15,0.77,0.67,7,13,13,19,1,6,0,0,Frank Schneider, 17:00
24/10/2020,8,Psg,Dijon Fco,0.55,0.45,0.58,0.42,0.67,0.33,11,12,2,0,4,10,538,420,30,37,0.91,0.89,0.84,0.78,12,24,0.58,0.33,4,0,20,16,9,3,3,5,3,5,17,11,0.45,0.19,21,15,0.76,0.8,16,8,12,18,0,2,0,0,Johan Hamel, 21:00
23/10/2020,8,Rennes,Angers,0.64,0.36,0.49,0.51,0.57,0.43,10,17,2,2,5,4,688,399,52,44,0.9,0.82,0.83,0.67,28,10,0.18,0.1,1,2,11,10,1,4,3,5,2,2,9,8,0.09,0.4,19,17,0.47,0.41,7,30,11,5,2,0,0,0,Jérémie Pignard, 21:00
